m,R2,Spearman_rho,MAE,TopK@200
126,0.8361419081687927,0.9001673441021847,0.08839013,0.6605000000000001
127,0.840355658531189,0.9023514719773222,0.087387905,0.6675000000000001
128,0.8383514702320098,0.9016820315626939,0.087872334,0.666
129,0.8389365613460541,0.9022607165993817,0.087555565,0.6765000000000001
130,0.8403000950813293,0.9027920269219724,0.08733636,0.666
131,0.8395340144634247,0.9014954375857858,0.08789636,0.6745
132,0.8377047419548035,0.9005132496662984,0.088116124,0.667
133,0.8404882252216339,0.9032245145860023,0.08730281,0.6725
134,0.8451899945735931,0.9048673982004118,0.086148076,0.6775
135,0.8456913590431213,0.9060351120516932,0.085728176,0.673
136,0.8458866000175476,0.9051412209415931,0.086025685,0.681
137,0.8437134087085724,0.9046566664792606,0.0864784,0.6655000000000001
138,0.8448065638542175,0.9047025471086311,0.08633608,0.6685
139,0.8415776133537293,0.9033644044495641,0.08703739,0.678
140,0.84401153922081,0.9037506736096279,0.086524114,0.68
141,0.8471027195453644,0.9058328440452886,0.08573506,0.677
142,0.8416969180107117,0.9018749557040351,0.08731156,0.6805
143,0.8436473190784455,0.9030161438329584,0.08673285,0.6825
144,0.843763118982315,0.9047102254358046,0.086430475,0.678
145,0.8468266785144806,0.9058694737156513,0.08578784,0.6775000000000001
146,0.8425973236560822,0.9037362110891515,0.08677907,0.679
147,0.8508789658546447,0.9081113716598205,0.0846703,0.683
148,0.850831001996994,0.9084782108593302,0.08449831,0.685
149,0.8493919730186462,0.9064346156610761,0.08521006,0.6875
150,0.8506809830665588,0.908403677036086,0.08458695,0.6869999999999999
151,0.8490189850330353,0.9072851160467741,0.08520658,0.6719999999999999
152,0.8517504930496216,0.9084342862600966,0.08442819,0.683
153,0.8496658325195312,0.9080623271875169,0.08482294,0.6859999999999999
154,0.850708258152008,0.9085973094646114,0.08467377,0.673
155,0.846974915266037,0.9062034772485305,0.08580074,0.6839999999999999
156,0.8495317697525024,0.9079695321281911,0.08503133,0.6795000000000001
157,0.852384227514267,0.9092080961211352,0.084148444,0.686
158,0.854570084810257,0.9110936811789028,0.08341029,0.6775
159,0.8545861661434173,0.909994807718262,0.083824396,0.6845000000000001
160,0.8527803242206573,0.9088919749565922,0.08427238,0.6885
161,0.8532252252101898,0.9094219108210675,0.08418778,0.679
162,0.8512935817241669,0.9083975309004902,0.084378205,0.6910000000000001
163,0.8513654470443726,0.908748959381356,0.08451395,0.678
164,0.8532218635082245,0.9091232091441114,0.0842066,0.6799999999999999
165,0.85643829703331,0.9116655703450579,0.08309882,0.6805
166,0.8515740633010864,0.9085352704865567,0.084513575,0.6865
167,0.8550347626209259,0.9105625882683803,0.083523184,0.6795
168,0.855265212059021,0.9108367173478064,0.08349006,0.6829999999999999
169,0.8520347356796265,0.9092364338635279,0.084262855,0.681
170,0.8573644518852234,0.9119133421732732,0.08291762,0.6930000000000001
171,0.8547612726688385,0.910738252462416,0.08365277,0.6805000000000001
172,0.8556652784347534,0.9106385260847683,0.083396256,0.6875
173,0.8589356660842895,0.9126521047336175,0.082375936,0.6994999999999999
174,0.8578717589378357,0.9124348668029606,0.082816616,0.6890000000000001
175,0.8603776037693024,0.9136473281557642,0.082114175,0.6880000000000001
176,0.8568528294563293,0.9115146663144239,0.0830443,0.6900000000000001
177,0.859242856502533,0.9127685549731733,0.08250274,0.6875
178,0.8596331715583801,0.9131937690839956,0.082336925,0.6855
179,0.8585595548152923,0.9123500257829644,0.08269092,0.6890000000000001
180,0.8590559899806977,0.912738366870931,0.08246229,0.6895
181,0.8602794647216797,0.9133640933200994,0.0822473,0.693
182,0.861401104927063,0.9144739052611094,0.08174399,0.684
183,0.8583150982856751,0.9119263907115233,0.0827355,0.69
184,0.860311084985733,0.913493120136485,0.08209287,0.6975
185,0.8628608882427216,0.9152127058431443,0.08147702,0.6869999999999999
186,0.8637685537338257,0.9154142052997567,0.08133933,0.6950000000000001
187,0.8624284029006958,0.9146402020374531,0.081527166,0.696
188,0.8594311356544495,0.9131447574396632,0.0823009,0.6865
189,0.8647020339965821,0.916198499136177,0.081075,0.6980000000000001
190,0.8613007485866546,0.9134742051441318,0.0820366,0.692
191,0.8622578382492065,0.9140434962350547,0.081752166,0.6895
192,0.8631170988082886,0.9148421810003017,0.08151511,0.6950000000000001
193,0.8607333362102508,0.9137527407668093,0.082018785,0.694
194,0.8638203382492066,0.9147454098480642,0.08141172,0.6915000000000001
195,0.8611325085163116,0.91352358959898,0.082239814,0.6975
196,0.8625755071640014,0.914431608850354,0.0815936,0.6975
197,0.8647798776626587,0.9158242302915344,0.08090273,0.7
198,0.8652164518833161,0.9152698019593515,0.08103256,0.7005
199,0.8648418188095093,0.9161146337917166,0.08100764,0.701
200,0.8641183853149415,0.9161911921511212,0.08103199,0.688
201,0.868427962064743,0.9185096808369588,0.07984023,0.697
202,0.8664062023162842,0.9164161581213699,0.08057727,0.7015
203,0.8667171001434326,0.9162219571578101,0.0804502,0.6980000000000001
204,0.8647792935371399,0.9161551671413921,0.080781534,0.7065
205,0.8660266876220704,0.9167885794192483,0.08077799,0.699
206,0.8693042576313019,0.9188475806822144,0.07959394,0.6964999999999999
207,0.8689983129501343,0.9184448636625572,0.07975973,0.7034999999999999
208,0.8655669987201691,0.9162452651271409,0.08078753,0.6900000000000001
209,0.8699073553085327,0.9190576924365603,0.079498574,0.706
210,0.8714073777198792,0.919645104852519,0.07915227,0.7060000000000001
211,0.869172602891922,0.918143523117976,0.079764746,0.7035
212,0.867685341835022,0.9174022279436226,0.08025442,0.708
213,0.8692706227302551,0.9182857154324742,0.079792276,0.702
214,0.868128091096878,0.9179760388656643,0.07992792,0.6975
215,0.871250456571579,0.9199049165378137,0.07901987,0.7
216,0.871502423286438,0.9196249992383289,0.07929009,0.7025
217,0.8678274631500245,0.9171820417118044,0.0801063,0.6994999999999999
218,0.8702967941761017,0.9190162608299787,0.07937885,0.7074999999999999
219,0.871257621049881,0.9200421505749379,0.07907225,0.704
220,0.8693837583065033,0.9179734245965306,0.07976572,0.6985000000000001
221,0.8712620198726654,0.9194222011371534,0.07920547,0.7055
222,0.8714106917381287,0.9194730246633596,0.07914708,0.7005000000000001
223,0.872168880701065,0.9196954508613062,0.07904388,0.7034999999999999
224,0.87195326089859,0.9203384496947983,0.07884999,0.6975
225,0.8741930961608887,0.9212505571228886,0.07837434,0.7095
226,0.8706506788730621,0.9186479654560651,0.079554275,0.7115
227,0.8746768534183502,0.9214377703240452,0.07805394,0.7075
228,0.8741569817066193,0.9212291995521416,0.078231856,0.7044999999999999
229,0.8742805361747742,0.9213201330793339,0.07826704,0.7114999999999999
230,0.8752119183540344,0.9217579085457072,0.07800542,0.7144999999999999
231,0.8738065779209137,0.92113597496282,0.07837362,0.7115
232,0.8747094213962555,0.9214925057487605,0.078215696,0.7024999999999999
233,0.8745862603187561,0.9209569188632086,0.07839401,0.7034999999999998
234,0.8749318361282349,0.92096810505444,0.07831544,0.7094999999999999
235,0.8749128580093384,0.9211746298470402,0.07822091,0.714
236,0.8764604091644287,0.922579820887653,0.077675626,0.705
237,0.8763931572437287,0.9221324199753635,0.07787228,0.702
238,0.8773268163204193,0.9232969476038555,0.07724567,0.713
239,0.8770691275596618,0.9229404687730695,0.07739765,0.7110000000000001
240,0.8740071475505828,0.9211879446302188,0.07846693,0.7074999999999999
241,0.8755669236183167,0.9215840251769872,0.077992134,0.712
242,0.8772160291671753,0.9231798359061267,0.07745911,0.718
243,0.8768182992935181,0.9221349923946656,0.077750556,0.7144999999999999
244,0.8770623147487641,0.9228779782111964,0.077554144,0.711
245,0.8777102470397949,0.9226947904905206,0.07755368,0.7089999999999999
246,0.8755496799945831,0.9219586374825873,0.077991106,0.716
247,0.8766744554042816,0.9220610837309392,0.07767143,0.7114999999999999
248,0.8781865358352661,0.9234965787299771,0.07709829,0.7085
249,0.8787563681602478,0.9233295504684726,0.07714455,0.719
250,0.8788591146469116,0.9243695991274606,0.076942824,0.702
251,0.8778427720069886,0.9232187799014422,0.07730184,0.7074999999999999
252,0.8788524746894837,0.9237366680256154,0.076997496,0.7174999999999999
253,0.8792423963546753,0.9236966648379281,0.07700109,0.7110000000000001
254,0.8800035536289215,0.9245299578655798,0.076566495,0.7129999999999999
255,0.8814202606678009,0.9255543780634637,0.07616337,0.717
256,0.8800386607646942,0.9245346869288452,0.076514915,0.7144999999999999
257,0.8810338079929352,0.924870093559355,0.07643863,0.711
258,0.8801059722900391,0.9246971681065395,0.07671033,0.7114999999999999
259,0.8818513095378876,0.9254200597976905,0.076164074,0.7189999999999999
260,0.8806079983711242,0.9245014721899072,0.076517664,0.7205
261,0.877428162097931,0.9228011635431731,0.077583656,0.7155
262,0.8793829798698425,0.9241352076122482,0.07682775,0.7045
263,0.880556172132492,0.9246552792237779,0.07657574,0.713
264,0.8824252307415008,0.9260347424573148,0.07596189,0.717
265,0.8820490300655365,0.9256043694029265,0.076005936,0.7125
266,0.8826090395450592,0.9257926245018432,0.07593607,0.7135
267,0.8820986270904541,0.9256069401359287,0.0760857,0.715
268,0.8822804510593414,0.9257865582189023,0.07602587,0.7209999999999999
269,0.8818424701690674,0.9253526121156602,0.07613255,0.712
270,0.8816888928413391,0.9251649611939079,0.076223865,0.7185
271,0.882220447063446,0.9253644281562827,0.07617173,0.7195
272,0.8822528958320618,0.9253843710157531,0.07604968,0.7259999999999999
273,0.8832933843135834,0.9259694114458217,0.07570875,0.7194999999999999
274,0.8835149765014648,0.9266182287336189,0.07554448,0.7104999999999999
275,0.8821896910667419,0.925549257939231,0.07587866,0.72
276,0.8826195538043976,0.925728868635138,0.07592857,0.723
277,0.8828978061676025,0.9260434452148928,0.075803466,0.712
278,0.8834151566028595,0.926453271200252,0.07570844,0.7219999999999999
279,0.8841066360473633,0.9265974038827324,0.075513855,0.7190000000000001
280,0.8830273449420929,0.9259219223137874,0.07597741,0.716
281,0.8860612988471985,0.9276830346013769,0.0749849,0.723
282,0.8840610682964325,0.9266280792426509,0.07546986,0.7124999999999999
283,0.8847653448581696,0.9268387737492327,0.075322315,0.72
284,0.8841135144233704,0.9263854104377026,0.075552925,0.7215
285,0.8854862928390503,0.9276325865603647,0.07498553,0.717
286,0.8860239624977112,0.9277727512714267,0.074894845,0.732
287,0.8846669495105743,0.9269708583720287,0.07533239,0.7204999999999999
288,0.8860030591487884,0.9276221151573274,0.07497992,0.726
289,0.8864214062690735,0.9280352935155447,0.074799776,0.7135
290,0.8863563299179077,0.9277475355444833,0.07486026,0.7184999999999999
291,0.8845578253269195,0.9269583161342277,0.075411424,0.7175
292,0.8850839614868165,0.9268699828186776,0.075361334,0.7194999999999999
293,0.884597247838974,0.926895687303872,0.07528414,0.7255
294,0.8868336319923401,0.9283593956329625,0.07459168,0.722
295,0.8871993601322175,0.9282846831927584,0.07457531,0.7259999999999999
296,0.8882885992527008,0.9290953920596001,0.07410683,0.7215
297,0.8873063504695893,0.9284877526175708,0.074482426,0.7195
298,0.8864224553108215,0.9274720117351538,0.07485788,0.7264999999999999
299,0.8879210829734803,0.9287552534684173,0.07434169,0.723
300,0.8874020338058471,0.928806707039819,0.074456036,0.7264999999999999
301,0.8870108544826507,0.9282978029822415,0.074673586,0.7254999999999999
302,0.8877433180809021,0.9287671881957891,0.07441088,0.7245
303,0.888443648815155,0.9293786215222486,0.07408642,0.7219999999999999
304,0.8885859847068787,0.9290939230944714,0.07415514,0.7244999999999999
305,0.8885784447193146,0.9286770330649519,0.07424249,0.7364999999999999
306,0.8870467722415925,0.928120933395217,0.07462145,0.7300000000000001
307,0.8907918930053711,0.9305607087350609,0.07339813,0.7230000000000001
308,0.8891923785209656,0.9293396412269347,0.07392799,0.718
309,0.8891698718070984,0.9297782047217616,0.07384033,0.722
310,0.8888553202152252,0.929646165455004,0.073951736,0.721
311,0.89080251455307,0.9304114371213663,0.073415965,0.7304999999999999
312,0.8898737728595734,0.9301434325877999,0.07361415,0.7245000000000001
313,0.8903942883014679,0.9302245332793795,0.07359048,0.7325
314,0.8895758926868439,0.9298473378049195,0.07391791,0.7289999999999999
315,0.889281839132309,0.9292611688691135,0.0740713,0.7265
316,0.8909198582172394,0.930452873082346,0.07347814,0.724
317,0.8906639158725739,0.9303167570017044,0.073473215,0.7289999999999999
318,0.8910117149353027,0.93048417982505,0.07344083,0.734
319,0.8921667814254761,0.9312018407098215,0.07311465,0.7264999999999999
320,0.8907144963741302,0.9307555989866705,0.073277175,0.7309999999999999
321,0.890335202217102,0.9300620445328965,0.07361453,0.7274999999999999
322,0.8910044074058533,0.930409053092462,0.07353149,0.7294999999999999
323,0.8916913092136383,0.9311632951062465,0.07307709,0.7255
324,0.891466373205185,0.9311097431853833,0.073235705,0.722
325,0.8909646987915039,0.930031296660615,0.07359983,0.728
326,0.8907469570636749,0.9304582693113662,0.07346654,0.7234999999999999
327,0.892987996339798,0.9319174796577384,0.07270823,0.733
328,0.8909898459911346,0.9303323580497812,0.0734752,0.725
329,0.8929362416267395,0.9313987828409209,0.07282625,0.7314999999999999
330,0.8928474605083465,0.9316206950415893,0.07284221,0.729
331,0.8913050949573517,0.9305823744281216,0.07340121,0.7294999999999999
332,0.8920169115066529,0.9307283254451919,0.07315622,0.734
333,0.8920828759670257,0.9310974131349818,0.073065855,0.7284999999999999
334,0.8932412803173065,0.9316819376510186,0.07285397,0.7325
335,0.8940501391887665,0.9321254869128026,0.07257986,0.725
336,0.8937949299812317,0.9323265028372439,0.07252306,0.725
337,0.8935009956359863,0.931779051584194,0.072628774,0.732
338,0.8920987129211426,0.9309406090424599,0.07316695,0.736
339,0.8927127182483673,0.9316337284367945,0.07278877,0.7295
340,0.8933283984661102,0.9318235701680619,0.072757445,0.7315
341,0.8940535604953765,0.9322516121093148,0.07250075,0.732
342,0.8939487397670746,0.9322273780696955,0.072542176,0.7269999999999999
343,0.8951797425746918,0.9329504848746186,0.072112575,0.7255
344,0.8955674648284913,0.9331801683741621,0.072043404,0.7324999999999999
345,0.8935486018657685,0.9315531004675822,0.07282154,0.7264999999999999
346,0.8937252879142761,0.9320051343180312,0.07258854,0.7335
347,0.8946676313877105,0.9323423439227799,0.07241164,0.7304999999999999
348,0.8958914399147033,0.9332039025369818,0.07200713,0.7300000000000001
349,0.8954403162002563,0.9331051841581754,0.07204382,0.733
350,0.8957917749881744,0.9332937129249761,0.07192998,0.7334999999999999
351,0.8948657929897308,0.9327023478384543,0.07221323,0.7340000000000001
352,0.8956825733184814,0.9331649918658493,0.072066136,0.731
353,0.8957409799098969,0.9331687803805193,0.071955174,0.7325000000000002
354,0.8961700856685638,0.9332777762974122,0.07189154,0.7344999999999999
355,0.8958772957324982,0.9332783328383852,0.07197042,0.7325000000000002
356,0.8967112720012664,0.9334853798339063,0.071781866,0.7304999999999999
357,0.8960656583309173,0.9332601636702682,0.07191407,0.728
358,0.8961496651172638,0.9335512804474881,0.07185209,0.733
359,0.8959616124629974,0.9331948026491353,0.07196746,0.736
360,0.8975066602230072,0.934125856707527,0.07148732,0.7390000000000001
361,0.8971632540225982,0.9339227253480249,0.07158162,0.7365000000000002
362,0.8974953472614289,0.9341884036170767,0.07142572,0.7284999999999999
363,0.8973648548126221,0.9341889305381452,0.07144559,0.7304999999999999
364,0.8965182304382324,0.9336077426330085,0.07178937,0.736
365,0.8972569942474365,0.9340295521665158,0.0715293,0.7315
366,0.8983345746994018,0.9345646617777673,0.07121495,0.7375
367,0.8978294014930726,0.9343571332243057,0.07132969,0.731
368,0.8980506837368012,0.9346422311639909,0.07126103,0.7310000000000001
369,0.8978975534439086,0.9344489828336398,0.07125728,0.7354999999999999
370,0.8982521831989289,0.9348330645465943,0.071155354,0.7324999999999999
371,0.8985359013080597,0.93478095359446,0.07109937,0.7365
372,0.8978210031986237,0.9342954476162368,0.07141776,0.738
373,0.8983148515224457,0.9345692786957386,0.07120436,0.733
374,0.8987507939338684,0.934817742393719,0.07106426,0.7365
375,0.8990160524845123,0.935163760378592,0.07092172,0.7344999999999999
376,0.8987572431564331,0.9348850097922081,0.07107293,0.731
377,0.8988821744918823,0.9348618477970527,0.071048364,0.7380000000000001
378,0.8992457211017608,0.9350743382842521,0.07096197,0.7355000000000002
379,0.899023461341858,0.9349483596847875,0.071089596,0.7384999999999999
380,0.8992397308349609,0.9351827130669333,0.07089873,0.7405
381,0.8996937036514282,0.9354902073734831,0.07080788,0.7375
382,0.899752938747406,0.9353884383524553,0.070804216,0.7354999999999999
383,0.8997040569782258,0.9353634892675513,0.0707684,0.7370000000000001
384,0.8997969031333923,0.9353657673739869,0.070737734,0.7395
385,0.9003008663654327,0.9357060928404815,0.070608035,0.7394999999999999
386,0.8995911061763764,0.9353884922723221,0.07082145,0.7375
387,0.9004288494586945,0.9358606690734266,0.070538536,0.7385
388,0.9004794180393219,0.935822086717215,0.070558116,0.7405
389,0.9005233526229859,0.935929518985539,0.07051559,0.7365000000000002
390,0.9003201067447663,0.9357451727822074,0.07060663,0.735
391,0.9006571888923645,0.9359378745314858,0.07050597,0.7415
392,0.9007270455360412,0.936023333727741,0.07047408,0.7385
393,0.9008110463619232,0.9360760097650699,0.07043516,0.738
394,0.9008640289306641,0.9360089544122088,0.07045903,0.7405
395,0.9012012720108032,0.9362582998043015,0.070324495,0.737
396,0.9008040964603424,0.9359716881181999,0.070464,0.7380000000000001
397,0.9013818144798279,0.9363858269622984,0.07027244,0.741
398,0.9014763236045837,0.9364267114009163,0.070258155,0.7395
399,0.9015268087387085,0.9364349771400617,0.070239924,0.745
